"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","lon","lat"
"x32119740","x1102996447639846912",2019-03-05 18:17:00,"KPWaResearch","ICYMI A #LearningHealthSystem project finds @kpwashington  members who could benefit most from #fluvaccines. Paula Lozano, of @KPWaResearch, explains how data is being used to identify &amp; contact those at greatest hospitalization risk for #influenza: https://t.co/q38kkSw5Ms https://t.co/Bm8vknwhzi","TweetDeck",277,,,,FALSE,FALSE,0,0,"LearningHealthSystem fluvaccines influenza",,"bit.ly/2Xfa1w8","https://t.co/q38kkSw5Ms","https://bit.ly/2Xfa1w8","http://pbs.twimg.com/media/D06PJsEX4AE6RiM.jpg","https://t.co/Bm8vknwhzi","https://twitter.com/KPWaResearch/status/1102996447639846912/photo/1","photo","http://pbs.twimg.com/media/D06PJsEX4AE6RiM.jpg","https://t.co/Bm8vknwhzi","https://twitter.com/KPWaResearch/status/1102996447639846912/photo/1",,"x25168788 x32119740","kpwashington KPWaResearch","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KPWaResearch/status/1102996447639846912","KP WA Research","Seattle, WA","Kaiser Permanente Washington Health Research Institute conducts practical research that helps people around the world stay healthy—ghricomm@ghc.org","https://t.co/yZnd26DZET",FALSE,3296,2526,238,9501,6690,2009-04-16 19:22:18,TRUE,"https://t.co/yZnd26DZET","http://kpwashingtonresearch.org","en","https://pbs.twimg.com/profile_banners/32119740/1516981967","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/838069490038366210/vbX-xn5c_normal.jpg",-122.3320708,47.6062095
"x32119740","x1101544000710950913",2019-03-01 18:05:30,"KPWaResearch","Targeting #fluvaccine: The Learning Health System program at @KPWaResearch looked at data from @kpwashington members &amp; used a validated computer-based risk model to find people who were most likely to be hospitalized from #influenza this year. Read more at https://t.co/q38kkSw5Ms https://t.co/J98RCYirKN","TweetDeck",284,,,,FALSE,FALSE,0,0,"fluvaccine influenza",,"bit.ly/2Xfa1w8","https://t.co/q38kkSw5Ms","https://bit.ly/2Xfa1w8","http://pbs.twimg.com/media/D0l0LU_WkAAtBXi.jpg","https://t.co/J98RCYirKN","https://twitter.com/KPWaResearch/status/1101544000710950913/photo/1","photo","http://pbs.twimg.com/media/D0l0LU_WkAAtBXi.jpg","https://t.co/J98RCYirKN","https://twitter.com/KPWaResearch/status/1101544000710950913/photo/1",,"x32119740 x25168788","KPWaResearch kpwashington","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KPWaResearch/status/1101544000710950913","KP WA Research","Seattle, WA","Kaiser Permanente Washington Health Research Institute conducts practical research that helps people around the world stay healthy—ghricomm@ghc.org","https://t.co/yZnd26DZET",FALSE,3296,2526,238,9501,6690,2009-04-16 19:22:18,TRUE,"https://t.co/yZnd26DZET","http://kpwashingtonresearch.org","en","https://pbs.twimg.com/profile_banners/32119740/1516981967","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/838069490038366210/vbX-xn5c_normal.jpg",-122.3320708,47.6062095
"x1032036495388024839","x1102993757404839941",2019-03-05 18:06:19,"JuanLuisGlzT","#Video 
Jhonny González, Campeón del Mundo en Boxeo, es nuestro #PromotorDeLaSalud y te invita a vacunarte contra la #Influenza y revisarte contra el #CáncerDeMama uniéndote a la campaña del Seguro Popular Nuevo León
#EstaEnNuestrasManos |@JaimeRdzNL 
@DrManueldelaO @ConsejoNL https://t.co/ddTmkzOqnw","Twitter for iPhone",277,,,,FALSE,FALSE,1,0,"Video PromotorDeLaSalud Influenza CáncerDeMama EstaEnNuestrasManos",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1102993567964938240/pu/img/Bv6PvdaX7eGbLeCC.jpg","https://t.co/ddTmkzOqnw","https://twitter.com/JuanLuisGlzT/status/1102993757404839941/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1102993567964938240/pu/img/Bv6PvdaX7eGbLeCC.jpg","https://t.co/ddTmkzOqnw","https://twitter.com/JuanLuisGlzT/status/1102993757404839941/video/1",,"x1342520820 x4073144173 x3054251738","JaimeRdzNL DrManueldelaO ConsejoNL","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JuanLuisGlzT/status/1102993757404839941","JuanLuisGlzT","Monterrey, Nuevo León","Orgulloso de mi familia y con un compromiso permanente con la salud en Nuevo León. Director del Seguro Popular en Nuevo León WhatsApp: 8119178377",,FALSE,207,97,2,1321,130,2018-08-21 22:47:29,FALSE,,,"es","https://pbs.twimg.com/profile_banners/1032036495388024839/1551583926",,"http://pbs.twimg.com/profile_images/1060728927176421376/Yas6okKH_normal.jpg",-100.3161126,25.6866142
"x1032036495388024839","x1101510809384030208",2019-03-01 15:53:36,"JuanLuisGlzT","#Video 
Alberto ""El Patrón"" del Río @PrideOfMexico nuestro #PromotorDeLaSalud te invita a vacunarte contra la #Influenza y revisarte contra el #CáncerDeMama uniéndote a la campaña del Seguro Popular Nuevo León
#EstaEnNuestrasManos |
@DrManueldelaO @ConsejoNL https://t.co/u1Go96EJ57","Twitter for iPhone",258,,,,FALSE,FALSE,15,9,"Video PromotorDeLaSalud Influenza CáncerDeMama EstaEnNuestrasManos",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1101510379979657216/pu/img/UtlYhipIJdljNzEb.jpg","https://t.co/u1Go96EJ57","https://twitter.com/JuanLuisGlzT/status/1101510809384030208/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1101510379979657216/pu/img/UtlYhipIJdljNzEb.jpg","https://t.co/u1Go96EJ57","https://twitter.com/JuanLuisGlzT/status/1101510809384030208/video/1",,"x926875862 x4073144173 x3054251738","PrideOfMexico DrManueldelaO ConsejoNL","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JuanLuisGlzT/status/1101510809384030208","JuanLuisGlzT","Monterrey, Nuevo León","Orgulloso de mi familia y con un compromiso permanente con la salud en Nuevo León. Director del Seguro Popular en Nuevo León WhatsApp: 8119178377",,FALSE,207,97,2,1321,130,2018-08-21 22:47:29,FALSE,,,"es","https://pbs.twimg.com/profile_banners/1032036495388024839/1551583926",,"http://pbs.twimg.com/profile_images/1060728927176421376/Yas6okKH_normal.jpg",-100.3161126,25.6866142
"x710145967748571137","x1102993322212319233",2019-03-05 18:04:35,"contramuromx","También fue presentado un reporte respecto al número de #Decesos en dicha entidad https://t.co/qLio9RHV2V #Influenza https://t.co/4a21WU8ZUv","Twitter Web Client",116,,,,FALSE,FALSE,0,0,"Decesos Influenza",,"contramuro.com/reportan-125-c…","https://t.co/qLio9RHV2V","https://www.contramuro.com/reportan-125-casos-de-influenza-en-mexico/","http://pbs.twimg.com/media/D06Wqt1X0AAchKW.jpg","https://t.co/4a21WU8ZUv","https://twitter.com/contramuromx/status/1102993322212319233/photo/1","photo","http://pbs.twimg.com/media/D06Wqt1X0AAchKW.jpg","https://t.co/4a21WU8ZUv","https://twitter.com/contramuromx/status/1102993322212319233/photo/1",,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/contramuromx/status/1102993322212319233","Contramuro","Morelia, Michoacán de Ocampo","Periódico Digital. https://t.co/tME2qB2Imb","https://t.co/ONmwXAxY6c",FALSE,2705,466,50,32380,33,2016-03-16 16:49:27,FALSE,"https://t.co/ONmwXAxY6c","http://contramuro.com","es","https://pbs.twimg.com/profile_banners/710145967748571137/1486668620","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/828705556915294208/Squ9zUBs_normal.jpg",-101.1949825,19.7059504
"x1160282737","x1102992310332256261",2019-03-05 18:00:34,"MMCAP_Online","The #CDC Flu map for week 8 - ending February 23 - shows only Hawaii and Washington, D.C. without widespread influenza activity. #Flu #Influenza #FluSeason #Vaccines #Vaccinations #Vaccinate https://t.co/I6EWp2WcnX","Hootsuite Inc.",190,,,,FALSE,FALSE,0,0,"CDC Flu Influenza FluSeason Vaccines Vaccinations Vaccinate",,,,,"http://pbs.twimg.com/media/D06dqSWW0AAAI-B.jpg","https://t.co/I6EWp2WcnX","https://twitter.com/MMCAP_Online/status/1102992310332256261/photo/1","photo","http://pbs.twimg.com/media/D06dqSWW0AAAI-B.jpg","https://t.co/I6EWp2WcnX","https://twitter.com/MMCAP_Online/status/1102992310332256261/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MMCAP_Online/status/1102992310332256261","MMCAP","Minnesota","The Minnesota Multistate Contracting Alliance for Pharmacy (MMCAP), is a free, voluntary group purchasing organization.","https://t.co/jinL8ab3RI",FALSE,114,132,8,2122,56,2013-02-08 14:13:43,FALSE,"https://t.co/jinL8ab3RI","http://www.mmd.admin.state.mn.us/mmcap/","en","https://pbs.twimg.com/profile_banners/1160282737/1523635957","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/766012234917154816/6ylskUAf_normal.jpg",-94.6858998,46.729553
"x1160282737","x1100418690334539777",2019-02-26 15:33:55,"MMCAP_Online","The #CDC Flu Map for Week 7 - ending Feb. 16 - is virtually identical to the Week 6 map with only one state - West Virginia - and the District of Columbia not reporting widespread flu activity. #Flu #Influenza #Vaccine #Vaccines #Vaccinate https://t.co/9I2oBCC0LX","Hootsuite Inc.",239,,,,FALSE,FALSE,0,0,"CDC Flu Influenza Vaccine Vaccines Vaccinate",,,,,"http://pbs.twimg.com/media/D0V495AWwAEsmdd.jpg","https://t.co/9I2oBCC0LX","https://twitter.com/MMCAP_Online/status/1100418690334539777/photo/1","photo","http://pbs.twimg.com/media/D0V495AWwAEsmdd.jpg","https://t.co/9I2oBCC0LX","https://twitter.com/MMCAP_Online/status/1100418690334539777/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MMCAP_Online/status/1100418690334539777","MMCAP","Minnesota","The Minnesota Multistate Contracting Alliance for Pharmacy (MMCAP), is a free, voluntary group purchasing organization.","https://t.co/jinL8ab3RI",FALSE,114,132,8,2122,56,2013-02-08 14:13:43,FALSE,"https://t.co/jinL8ab3RI","http://www.mmd.admin.state.mn.us/mmcap/","en","https://pbs.twimg.com/profile_banners/1160282737/1523635957","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/766012234917154816/6ylskUAf_normal.jpg",-94.6858998,46.729553
"x730856561669722112","x1102992270465400835",2019-03-05 18:00:24,"WCHosp","The latest @CDCgov report shows widespread #Influenza activity continues. Be sure to protect yourself and those around you by practicing good health habits like covering your cough and washing your hands often to help stop the spread of germs. #FightTheFlu https://t.co/xQYl01Zw1i","Sprout Social",256,,,,FALSE,FALSE,0,0,"Influenza FightTheFlu",,,,,"http://pbs.twimg.com/media/D06dn59WkAAoVRN.png","https://t.co/xQYl01Zw1i","https://twitter.com/WCHosp/status/1102992270465400835/photo/1","photo","http://pbs.twimg.com/media/D06dn59WkAAoVRN.png","https://t.co/xQYl01Zw1i","https://twitter.com/WCHosp/status/1102992270465400835/photo/1",,"x146569971","CDCgov","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WCHosp/status/1102992270465400835","Wood County Hospital","Bowling Green, OH","Founded in 1951, Wood County Hospital is located in Northwest
Ohio and is a private, not-for-profit general acute care facility.","https://t.co/PBLtptXhxv",FALSE,236,795,2,547,197,2016-05-12 20:25:57,FALSE,"https://t.co/PBLtptXhxv","http://WoodCountyHospital.org","en","https://pbs.twimg.com/profile_banners/730856561669722112/1502988634","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/898240456353603584/He9UwQzj_normal.jpg",-83.6513229,41.3747744
"x101802390","x1102671338156769281",2019-03-04 20:45:08,"USNatArchives","Don't miss tomorrow's noon book talk! Dr. Jeremy Brown of @NIH will discuss the history of the #flu virus, the Great Flu of 1918, and how prepared we are for the next outbreak. https://t.co/C8hlnIECXc #publichealth #influenza #WW1 https://t.co/ftddPUej8M","Hootsuite Inc.",230,,,,FALSE,FALSE,13,7,"flu publichealth influenza WW1",,"go.usa.gov/xEwcw","https://t.co/C8hlnIECXc","https://go.usa.gov/xEwcw","http://pbs.twimg.com/media/D015vNnW0AEc8e3.jpg","https://t.co/ftddPUej8M","https://twitter.com/USNatArchives/status/1102671338156769281/photo/1","photo","http://pbs.twimg.com/media/D015vNnW0AEc8e3.jpg","https://t.co/ftddPUej8M","https://twitter.com/USNatArchives/status/1102671338156769281/photo/1",,"x15134240","NIH","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/USNatArchives/status/1102671338156769281","US National Archives","Washington, D.C.","The nation's record keeper. Follow us for live tweeting of events, two-way conversations, and help with questions.","http://t.co/gjmniRBr5k",FALSE,183381,305,3452,33875,33255,2010-01-04 16:35:04,TRUE,"http://t.co/gjmniRBr5k","http://www.archives.gov/social-media/twitter.html","en","https://pbs.twimg.com/profile_banners/101802390/1542643697","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/963519859307892736/OOsXp_hr_normal.jpg",-77.0368707,38.9071923
"x101802390","x1102921756392767493",2019-03-05 13:20:12,"USNatArchives","Don't miss our noon book talk! Dr. Jeremy Brown of @NIH will discuss the history of the #flu virus, the Great Flu of 1918, and how prepared we are for the next outbreak. https://t.co/C8hlnIECXc #publichealth #influenza #WW1 https://t.co/YNFVoZ0WlL","Hootsuite Inc.",223,,,,FALSE,FALSE,12,4,"flu publichealth influenza WW1",,"go.usa.gov/xEwcw","https://t.co/C8hlnIECXc","https://go.usa.gov/xEwcw","http://pbs.twimg.com/media/D05dffEX4AQVvFB.jpg","https://t.co/YNFVoZ0WlL","https://twitter.com/USNatArchives/status/1102921756392767493/photo/1","photo","http://pbs.twimg.com/media/D05dffEX4AQVvFB.jpg","https://t.co/YNFVoZ0WlL","https://twitter.com/USNatArchives/status/1102921756392767493/photo/1",,"x15134240","NIH","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/USNatArchives/status/1102921756392767493","US National Archives","Washington, D.C.","The nation's record keeper. Follow us for live tweeting of events, two-way conversations, and help with questions.","http://t.co/gjmniRBr5k",FALSE,183381,305,3452,33875,33255,2010-01-04 16:35:04,TRUE,"http://t.co/gjmniRBr5k","http://www.archives.gov/social-media/twitter.html","en","https://pbs.twimg.com/profile_banners/101802390/1542643697","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/963519859307892736/OOsXp_hr_normal.jpg",-77.0368707,38.9071923
